main 2011-11-21 10:45:38,298 INFO App started IN net.sf.xfresh.util.Starter
main 2011-11-21 10:45:39,247 INFO Server started: 169 ms IN net.sf.xfresh.jetty.JettyServerInitializer
2006676605@qtp-1903271789-1 2011-11-21 10:46:04,952 DEBUG handle url => {./frontend/src/web/index.xml} IN net.sf.xfresh.jetty.YaletXmlPageHandler
2006676605@qtp-1903271789-1 2011-11-21 10:46:04,953 INFO Start process user request => {./frontend/src/web/index.xml}, remote ip => {127.0.0.1}, method=GET IN net.sf.xfresh.core.YaletProcessor
2006676605@qtp-1903271789-1 2011-11-21 10:46:04,994 DEBUG needTransform for ./frontend/src/web/index.xml = true IN net.sf.xfresh.core.impl.SimpleInternalRequest
2006676605@qtp-1903271789-1 2011-11-21 10:46:06,099 INFO Processing time for user request => {./frontend/src/web/index.xml} is 1146 ms IN net.sf.xfresh.core.YaletProcessor
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,317 DEBUG handle url => {./frontend/src/web/search.xml} IN net.sf.xfresh.jetty.YaletXmlPageHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,317 INFO Start process user request => {./frontend/src/web/search.xml}, remote ip => {127.0.0.1}, method=GET IN net.sf.xfresh.core.YaletProcessor
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,326 DEBUG needTransform for ./frontend/src/web/search.xml = true IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 INFO Starting process yalet => {userQuery} IN net.sf.xfresh.core.impl.DefaultSingleYaletProcessor
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 DEBUG name = _dir IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 DEBUG value = 010000 math-phis science IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 DEBUG name = _spec IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 DEBUG value = mathematics IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 DEBUG name = _city IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:48,436 DEBUG value = United States IN net.sf.xfresh.core.impl.SimpleInternalRequest
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,003 INFO Processing time for yalet => {userQuery} is 567 ms IN net.sf.xfresh.core.impl.DefaultSingleYaletProcessor
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,075 DEBUG city: Japan IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,076 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,076 DEBUG id: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,076 DEBUG name: University of Tokyo IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,076 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,077 DEBUG city: China IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,077 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,077 DEBUG id: 2 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,077 DEBUG name: Tsinghua University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,078 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,078 DEBUG city: Poland IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,078 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,078 DEBUG id: 3 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,078 DEBUG name: Warsaw University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,078 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,079 DEBUG city: Russian Federation IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,079 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,079 DEBUG id: 4 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,079 DEBUG name: Saint-Petersburg State University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,079 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,080 DEBUG city: Russian Federation IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,080 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,080 DEBUG id: 5 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,080 DEBUG name: Saratov State University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,080 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,081 DEBUG city: Ukraine IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,081 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,081 DEBUG id: 6 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,081 DEBUG name: Kyiv National Taras Shevchenko University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,081 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,082 DEBUG city: China IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,082 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,082 DEBUG id: 7 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,082 DEBUG name: Shanghai Jiao Tong University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,082 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,083 DEBUG city: Russian Federation IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,083 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,083 DEBUG id: 8 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,083 DEBUG name: Moscow State University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,083 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,084 DEBUG city: Russian Federation IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,084 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,084 DEBUG id: 9 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,084 DEBUG name: Saint-Petersburg State University of Information Technology, Mechanics and Optics IN net.sf.xfresh.core.sax.DefaultSaxHandler
